Author,Book,Year,Title,Theme,Poem,Meter
Marceline Desbordes-Valmore,Romances,1830,Les cloches du soir,Absence,"Quand les cloches du soir, dans leur lente volée, 
Feront descendre l'heure au fond de la vallée ; 
Quand tu n'auras d'amis, ni d'amours près de toi, 
Pense à moi ! pense à moi !

Car les cloches du soir avec leur voix sonore 
A ton cœur solitaire iront parler encore ; 
Et l'air fera vibrer ces mots autour de toi : 
Aime-moi ! aime-moi !

Si les cloches du soir éveillent tes alarmes, 
Demande au temps ému qui passe entre nos larmes : 
Le temps dira toujours qu'il n'a trouvé que toi, 
Près de moi ! près de moi !

Quand les cloches du soir, si tristes dans l'absence, 
Tinteront sur mon cœur ivre de ta présence : 
Ah ! c'est le chant du ciel qui sonnera pour toi, 
Et pour moi ! et pour moi !",décasyllabe
Antoine de Latour,La vie intime,1833,Dix ans d'absence,Absence,"Dix ans se sont passés, dix ans ! je l'ai revue 
Grande, elle que jadis enfant j'avais connue, 
Non plus vive et légère et souriant toujours, 
Mais grave et qui semblait déjà compter les jours 
Sa bouche avait encore cet éclat de l'enfance, 
Mais ne souriait plus et gardait le silence. 
Si mes yeux dans ses yeux osaient chercher son cœur, 
Son front pur se voilait de grâce et de pudeur, 
Et quand elle parlait, rougissante et naïve, 
Elle achevait à peine et d'une voix craintive. 
Sur moi, comme autrefois, s'est reposé son bras, 
Et nous avons parlé, ralentissant nos pas, 
Des chants de Rossini, des hymnes de Delphine, 
Des femmes qu'emportait l'élégante berline, 
De la mode d'hier déjà vieille à son tour, 
Et de tout ce qui naît et s'efface en un jour. 
Ah! dans ces entretiens si ma langue oppressée 
En sons inachevés laissait fuir ma pensée, 
Si je sentais s'éteindre et défaillir ma voix, 
C'est que mon cœur alors était plein d'autrefois, 
C'est que l'enfance seule est rieuse et légère, 
Car seule elle n'a pas de passé sur la terre.",vers libre
Théophile Gautier,La comédie de la mort,1838,Absence,Absence,"Reviens, reviens, ma bien-aimée ! 
Comme une fleur loin du soleil, 
La fleur de ma vie est fermée 
Loin de ton sourire vermeil.

Entre nos cœurs tant de distance ! 
Tant d'espace entre nos baisers ! 
Ô sort amer ! Ô dure absence ! 
Ô grands désirs inapaisés !

D'ici là-bas, que de campagnes, 
Que de villes et de hameaux, 
Que de vallons et de montagnes, 
À lasser le pied des chevaux !

Au pays qui me prend ma belle, 
Hélas ! Si je pouvais aller ; 
Et si mon corps avait une aile 
Comme mon âme pour voler !

Par-dessus les vertes collines, 
Les montagnes au front d'azur, 
Les champs rayés et les ravines, 
J'irais d'un vol rapide et sûr.

Le corps ne suit pas la pensée ; 
Pour moi, mon âme, va tout droit, 
Comme une colombe blessée, 
S'abattre au rebord de son toit.

Descends dans sa gorge divine, 
Blonde et fauve comme de l'or, 
Douce comme un duvet d'hermine, 
Sa gorge, mon royal trésor ;

Et dis, mon âme, à cette belle : 
« Tu sais bien qu'il compte les jours, 
Ô ma colombe ! À tire d'aile 
Retourne au nid de nos amours. »",vers libre
Pierre de Ronsard,Amours diverses,1578,L'absence,Absence,"Ce me sera plaisir, Genèvre, de t'écrire,
Étant absent de toi, mon amoureux martyre...
J'ai certes éprouvé par mainte expérience,
Que l'amour se renforce et s'augmente en l'absence,

Ou soit en rêvassant le plaisant souvenir,
Ainsi que d'un appât la vienne entretenir,
Ou soit les portraits des liesses passées
S'impriment dans l'esprit de nouveau ramassées ;

Soit que l'âme ait regret au bien qu'elle a perdu,
Soit que le vide corps plus plein se soit rendu,
Soit que la volupté soit trop tôt périssable,

Soit que le souvenir d'elle soit plus durable.
Bref, je ne sais que c'est ; mais certes je sais bien
Que j'aime mieux absent qu'étant près de mon bien...",alexandrin
André Lemoyne,Les charmeuses,1864,Retour,Absence,"À Alex de Bertha.


L'absent qu'on n'osait plus attendre est revenu. 
Sans bruit il a poussé la porte. 
Son chien, aveugle et sourd, au flair l'a reconnu, 
Et par la grande cour l'escorte.

L'enfant blond d'autrefois est un homme aujourd'hui. 
Par delà l'Equateur sa trentaine est sonnée, 
Et voilà bien dix ans qu'on n'a rien su de lui. 
Par les soleils de mer sa peau rude est tannée.

Du vieux perron de pierre il monte l'escalier. 
Les fleurs d'un chèvrefeuille antique 
Versent, comme autrefois, leur baume hospitalier 
Au seuil de la maison rustique.

Il hésite, il a peur, quand son pied touche au seuil. 
C'est un pressentiment funèbre qui l'arrête : 
Qui va-t-il retrouver ? les siens portant son deuil, 
Ou des êtres nouveaux dont le cœur est en fête ?

On l'aperçoit d'abord : — « Quel est cet étranger 
Qui chez les autres se hasarde 
Sans éveiller la cloche, et semble interroger 
Si gravement ceux qu'il regarde ? »

Servantes et valets ne le connaissent pas, 
Mais la maîtresse, assise et près du feu courbée, 
Se lève toute droite et lui tend ses deux bras. 
En étouffant un cri de mère elle est tombée.",vers libre
Charles-Augustin Sainte-Beuve,Les consolations,1830,À deux absents,Absence,"Couple heureux et brillant, vous qui m'avez admis 
Dès longtemps comme un hôte à vos foyers amis, 
Qui m'avez laissé voir, en votre destinée 
Triomphante, et d'éclat partout environnée, 
Le cours intérieur de vos félicités, 
Voici deux jours bientôt que je vous ai quittés ; 
Deux jours, que seul, et l'âme en caprices ravie, 
Loin de vous dans les bois j'essaie un peu la vie ; 
Et déjà sous ces bois et dans mon vert sentier 
J'ai senti que mon cœur n'était pas tout entier. 
J'ai senti que vers vous il revenait fidèle 
Comme au pignon chéri revient une hirondelle, 
Comme un esquif au bord qu'il a longtemps gardé ; 
Et, timide, en secret, je me suis demandé 
Si, durant ces deux jours, tandis qu'à vous je pense, 
Vous auriez seulement remarqué mon absence. 
Car sans parler du flot qui gronde à tout moment, 
Et de votre destin qu'assiège incessamment 
La Gloire aux mille voix, comme une mer montante, 
Et des concerts tombant de la nue éclatante 
Où déjà par le front vous plongez à demi ; 
Doux bruits, moins doux pourtant que la voix d'un ami ; 
Vous, noble époux ; vous, femme, à la main votre aiguille, 
À vos enfants ; chaque soir, en famille, 
Vous livrez aux doux riens vos deux cœurs reposés, 
Vous vivez l'un dans l'autre et vous vous suffisez. 
Et si quelqu'un survient dans votre causerie, 
Qui sache la comprendre et dont l'œil vous sourie, 
Il écoute, il s'assied, il devise avec vous, 
Et les enfants joyeux vont entre ses genoux ; 
Et s'il en vient un autre, puis un autre 
(Car chacun se fait gloire et bonheur d'être votre), 
Comme des voyageurs sous l'antique palmier, 
Ils sont les bienvenus ainsi que le premier. 
Ils passent ; mais sans eux votre existence est pleine, 
Et l'ami le plus cher, absent, vous manque à peine. 
Le monde n'est pour vous, radieux et vermeil, 
Qu'un atome de plus dans votre beau soleil, 
Et l'Océan immense aux vagues apaisées 
Qu'une goutte de plus dans vos fraîches rosées ; 
Et bien que le cœur sûr d'un ami vaille mieux 
Que l'Océan, le monde et les astres des cieux, 
Ce cœur d'ami n'est rien devant la plainte amère 
D'un nouveau-né souffrant ; et pour vous, père et mère, 
Une larme, une toux, le front un peu pâli 
D'un enfant adoré, met le reste en oubli. 
C'est la loi, c'est le vœu de la sainte Nature ; 
En nous donnant le jour : « Va, pauvre créature, 
Va, dit-elle, et prends garde au sortir de mes mains 
De trébucher d'abord dans les sentiers humains. 
Suis ton père et ta mère, attentif et docile ; 
Ils te feront longtemps une route facile ; 
Enfant, tant qu'ils vivront, tu ne manqueras pas, 
Et leur ardent amour veillera sur tes pas, 
Puis, quand ces nœuds du sang relâchés avec l'âge 
T'auront laissé, jeune homme, au tiers de ton voyage, 
Avant qu'ils soient rompus et qu'en ton cœur fermé 
S'ensevelisse, un jour, le bonheur d'être aimé, 
Hâte-toi de nourrir quelque pure tendresse, 
Qui, plus jeune que toi, t'enlace et te caresse ; 
À tes nœuds presque usés joins d'autres nœuds plus forts ; 
Car que faire ici-bas, quand les parents sont morts, 
Que faire de son âme orpheline et voilée, 
À moins de la sentir d'autre part consolée, 
D'être père, et d'avoir des enfants à son tour 
Que d'un amour jaloux on couve nuit et jour ? » 
Ainsi veut la Nature, et je l'ai méconnue ; 
Et quand la main du Temps sur ma tête est venue, 
Je me suis trouvé seul, et j'ai beaucoup gémi, 
Et je me suis assis sous l'arbre d'un ami.",vers libre
Sophie d'Arbouville,Poésies et nouvelles,1840,L'étoile qui file,Absence,"Petite étoile, au sein des vastes cieux, 
Toi que suivaient et mon cœur et mes yeux, 
Toi dont j'aimais la lumière timide, 
Où t'en vas-tu dans ta course rapide ? 
Ah ! j'espérais que, dans ce ciel d'azur, 
Du moins pour toi le repos était sûr. 
Pourquoi t'enfuir, mon étoile chérie ? 
Pourquoi quitter le ciel de ma patrie ?

Mon cœur connut le bonheur et l'amour : 
Amour, bonheur, tout n'a duré qu'un jour. 
Près d'un ami, je cherchai l'espérance... 
Et mon ami m'oublia dans l'absence ! 
Le cœur brisé, j'aimais encor les fleurs, 
Quand je les vis se faner sous mes pleurs ; 
Au ciel alors, pour n'être plus trahie, 
J'avais aimé.... l'étoile qui m'oublie !

Adieux à toi, belle étoile du soir ! 
Adieux à toi, toi, mon dernier espoir !... 
Errante au ciel comme moi sur la terre, 
En d'autres lieux va briller ta lumière. 
Rien n'est constant pour moi que la douleur, 
Rien ici-bas n'a voulu de mon cœur ; 
Autour de moi, tout est sombre et se voile, 
Et tout me fuit... même au ciel, une étoile !",décasyllabe
Sophie d'Arbouville,Poésies et nouvelles,1840,Séparation,Absence,"I.

Le ciel est calme et pur, la terre lui ressemble ; 
Elle offre avec orgueil au soleil radieux 
L'essaim tourbillonnant de ses enfants heureux. 
Dans les parvis sacrés, la foule se rassemble. 
Ô vous.... qui vous aimez et qui restez ensemble ! 
Vous qui pouvez encor prier en souriant, 
Un mot à Dieu pour ceux qui pleurent en priant, 
Vous qui restez ensemble !

Soleil ! du voyageur, toi, le divin secours, 
En tous lieux brilles-tu comme au ciel de la France ? 
N'as-tu pas en secret, parfois, de préférence, 
Comme un cœur a souvent de secrètes amours ? 
Ou, pour tous les pays, as-tu donc de beaux jours ? 
Oh ! d'un rayon ami, protège le voyage ! 
Sur le triste exilé qui fuit loin du rivage, 
Soleil, brille toujours !

Brise de nos printemps, qui courbes chaque branche, 
Dont le souffle léger vient caresser les fleurs 
Et s'imprègne en passant de leurs fraîches odeurs ! 
Au loin, du faible esquif qui s'incline et se penche, 
Enfles-tu doucement l'humide voile blanche ? 
Brise, sois douce et bonne au vaisseau qui s'enfuit ; 
Comme un ange gardien, surveille jour et nuit 
L'humide voile blanche.

Mer, dont l'immensité se dérobe à mes yeux ! 
Arrête la fureur de ta vague écumante, 
Étouffe l'ouragan dont la voix se lamente, 
Endors tes flots profonds, sombre miroir des cieux. 
Que ton onde sommeille à l'heure des adieux ; 
Renferme dans ton sein le vent de la tempête, 
Et reçois mon ami, comme un ami qu'on fête, 
À l'heure des adieux.

Mais pourquoi de la mer implorer la clémence, 
Quand l'univers entier obéit au Seigneur ? 
C'est lui qu'il faut prier quand se brise le cœur, 
Quand sur nos fronts pâlis vient planer la souffrance, 
Quand, pour nos yeux en pleurs, ton aurore commence, 
Ô toi, de tous nos jours le jour le plus affreux, 
— Que l'on achève seul, que l'on commence à deux 
Premier jour de l'absence !

Mais n'est-il pas, mon Dieu ! dans tes divins séjours, 
Un ange qui protège à l'ombre de ses ailes 
Tous les amours bénis par tes mains paternelles : 
Le bon ange, ô mon Dieu, des fidèles amours ! 
Il s'attriste aux départs et sourit aux retours, 
Il rend au pèlerin la route plus unie ; 
Oh ! veille donc sur lui, toi qui m'as tant bénie, 
Bon ange des amours !

Le ciel est calme et pur, la terre lui ressemble ; 
Elle offre avec orgueil au soleil radieux 
L'essaim tourbillonnant de ses enfants heureux ; 
Dans les parvis sacrés, la foule se rassemble. 
Ô vous qui vous aimez et qui restez ensemble, 
Vous qui pouvez encor prier en souriant, 
Un mot à Dieu pour ceux qui pleurent en priant, 
Vous qui restez ensemble !

II.

Voici l'heure du bal ; allez, hâtez vos pas ! 
De ces fleurs sans parfums couronnez voire tête ; 
Allez danser ! mon cœur ne vous enviera pas. 
Il est dans le silence aussi des jours de fête, 
Et des chants intérieurs que vous n'entendez pas !...

Oh ! laissez-moi rêver, ne plaignez pas mes larmes ! 
Si souvent, dans le monde, on rit sans être heureux, 
Que pleurer d'un regret est parfois plein de charmes, 
Et vaut mieux qu'un bonheur qui ment à tous les yeux.

Je connais du plaisir le beau masque hypocrite, 
La voix au timbre faux, et le rire trompeur 
Que vos pleurs en secret vont remplacer bien vite, 
Comme un fer retiré des blessures du cœur !

Pour moi, du moins, les pleurs n'ont pas besoin de voile ; 
Sur mon front, ma douleur — comme au ciel, une étoile !

Béni sois-tu, Seigneur, qui vers de saints amours, 
Toi-même, pour mon cœur, fraya la douce pente, 
Comme en des champs fleuris, de l'onde murmurante 
La main du laboureur sait diriger le cours !

Oh ! laissez-moi rêver loin du bal qui s'apprête ; 
De ces fleurs sans parfums couronnez votre tête, 
Allez danser ! mon cœur ne vous enviera pas. 
Il est dans le silence aussi des jours de fête, 
Et des chants intérieurs que vous n'entendez pas.

Oui, laissez-moi rêver, pour garder souvenance 
Du dernier mot d'adieu qui précéda l'absence ; 
Laissez vibrer en moi, dans l'ombre et loin du bruit, 
Ce triste et doux écho qui me reste de lui !

Plus tard, on me verra me mêler à la foule ; 
Mais dans son noir chaos où notre âme s'endort, 
Où notre esprit s'éteint, — c'est un bonheur encor 
D'espérer au delà de l'heure qui s'écoule, 
D'attendre un jour parmi tous les jours à venir, 
De marcher grave et triste au milieu de la foule, 
Au front, une pensée ; au cœur, un souvenir !

III.

Tu me fuis, belle Étoile, Étoile du retour ! 
Toi, que mon cœur brisé cherchait avec amour, 
Tu quittes l'horizon qu'obscurcit un nuage, 
Tu disparais du ciel, tu fuis devant l'orage. 
Depuis deux ans, pourtant, partout je te cherchais ! 
Les yeux fixés sur toi, j'espérais... je marchais. 
Comme un phare brillant d'une lumière amie, 
De ton espoir lointain, s'illuminait ma vie ; 
J'avançais à ton jour, tu m'indiquais le port ; 
Pour arriver vers toi, je redoublais d'effort. 
De chacun de mes pas je comptais la distance, 
Je disais : « C'est une heure ôtée à la souffrance ; 
C'est une heure de moins, entre ce sombre jour 
Et le jour radieux qui verra son retour ! »

Étoile d'espérance, appui d'une pauvre âme, 
Pourquoi lui ravis-tu ta lumineuse flamme ? 
Mon vol s'est arrêté dans ces obscurs déserts, 
Mon aile vainement s'agite dans les airs ; 
La nuit règne partout. — Sans lumière et sans guide, 
En vain, vers l'Orient, de mon regard avide 
J'appelle le soleil, qui chaque jour y luit... 
Le soleil ne doit pas se lever aujourd'hui ! 
J'attends, et tour à tour ou je tremble ou j'espère. 
Le vent souffle du ciel ou souffle de la terre ; 
Il m'emporte à son gré dans son cours tortueux : 
Ainsi, tourbillonnant, une feuille légère 
Passe d'un noir ravin au calme azur des cieux.

Comme aux buissons l'agneau laisse un peu de sa laine, 
Mon âme fatiguée, en sa course incertaine, 
À force de douleurs perd l'espoir et la foi, 
Et ne sait plus, mon Dieu, lever les yeux vers toi. 
Étoile du retour, dissipe les orages ! 
Toi que j'ai tant priée, écarte les nuages ! 
Reviens à l'horizon me rendre le bonheur, 
Et, du ciel où tu luis à côté du Seigneur, 
Fais descendre, le soir, un rayon d'espérance 
Sur les cœurs pleins d'amour que déchire l'absence !",vers libre
Sophie d'Arbouville,Poésies et nouvelles,1840,Un jour d'absence,Absence,"Quand l'horloge a sonné le moment du départ, 
Aucune larme, ami, n'a voilé ton regard ! 
Tu m'as pressé la main... j'ai cru voir un sourire 
Se mêler à l'adieu que tu venais me dire ; 
Car pour ton cœur, tranquille en pensant au retour, 
Ce n'était point partir que s'éloigner un jour. 
Et que m'importe à moi que la nuit te ramène !... 
Il fait jour et tu pars ! Du coursier qui t'entraîne 
Tu déchires les flancs, en disant : « Au revoir ! » 
Mais aujourd'hui me reste avant d'être à ce soir !

À ton dernier regard, pour moi, le temps s'arrête. 
Un livre est sous mes yeux, mais mon âme distraite 
S'en retourne vers toi ; car nos âmes sont sœurs, 
Et j'ai souvent rêvé qu'en des mondes meilleurs, 
En des pays lointains, ou dans les cieux peut-être... 
Je vivais de ta vie, et nous n'étions qu'un être ; 
Mais Dieu brisa notre âme, et de chaque moitié 
Il a créé nos cœurs, permettant par pitié 
Qu'ils pussent se revoir et s'aimer sur la terre, 
Où l'amour leur rendrait leur nature première.

Des pleurs que je répands, tout homme se rirait : 
Les chagrins passagers vous cachent leur secret. 
Vos cœurs ont des transports et n'ont point de faiblesse ; 
Vous pleurez d'un malheur, pleurez-vous de tristesse ? 
Vous ne connaissez pas ces noirs pressentiments, 
Ces rêves où l'esprit, se forgeant des tourments, 
Cherche dans notre amour un sinistre présage, 
Comme un soleil trop vif laisse prévoir l'orage !

Reviens d'un seul regard me rendre mon ciel pur, 
Reviens, parle, souris, et mon bonheur est sûr. 
Aux accents de ta voix s'éloigne la tempête ; 
Sur ton sein palpitant, je repose ma tête... 
Berce, endors mes terreurs par un doux chant d'amour, 
Et laisse-moi sourire et pleurer tour à tour.

Sans crainte, de la mort je serais menacée, 
Je mourrais dans tes bras et sur ton cœur pressée ! 
Mais si tu succombais... alors, sans désespoir, 
Comme toi, ce matin, je dirais : « À ce soir ! 
De quelques courts instants ton âme me devance, 
Attends-moi dans les cieux, ce n'est qu'un jour d'absence ! »",vers libre
Évariste de Parny,Poésies érotiques,1778,Ma mort,Absence,"De mes pensers confidente chérie, 
Toi, dont les chants faciles et flatteurs 
Viennent parfois suspendre les douleurs 
Dont les Amours ont parsemé ma vie, 
Lyre fidèle, où mes doigts paresseux 
Trouvent sans art des sons mélodieux, 
Prends aujourd'hui ta voix la plus touchante, 
Et parle-moi de ma maîtresse absente.

Objet chéri, pourvu que dans tes bras 
De mes accords j'amuse ton oreille, 
Et qu'animé par le jus de la treille, 
En les chantant, je baise tes appas ; 
Si tes regards, dans un tendre délire, 
Sur ton ami tombent languissamment ; 
À mes accents si tu daignes sourire ; 
Si tu fais plus, et si mon humble lyre 
Sur tes genoux repose mollement ; 
Qu'importe à moi le reste de la terre ? 
Des beaux esprits qu'importe la rumeur, 
Et du public la sentence sévère ? 
Je suis amant, et ne suis point auteur. 
Je ne veux point d'une gloire pénible ; 
Trop de clarté fait peur au doux plaisir. 
Je ne suis rien, et ma muse paisible 
Brave en riant son siècle et l'avenir. 
Je n'irai pas sacrifier ma vie 
Au fol espoir de vivre après ma mort. 
Ô ma maîtresse ! un jour l'arrêt du sort 
Viendra fermer ma paupière affaiblie. 
Lorsque tes bras, entourant ton ami, 
Soulageront sa tête languissante, 
Et que ses yeux soulevés à demi 
Seront remplis d'une flamme mourante ; 
Lorsque mes doigts tâcheront d'essuyer 
Tes yeux fixés sur ma paisible couche, 
Et que mon cœur, s'échappant sur ma bouche 
De tes baisers recevra le dernier ; 
Je ne veux point qu'une pompe indiscrète 
Vienne trahir ma douce obscurité, 
Ni qu'un airain à grand bruit agité 
Annonce à tous le convoi qui s'apprête. 
Dans mon asile, heureux et méconnu, 
Indifférent au reste de la terre, 
De mes plaisirs je lui fais un mystère : 
Je veux mourir comme j'aurai vécu.",vers libre
